"","zipcode","median","mean","pop"
"1",10001,71244.61,123112.7764,17678
"2",10002,30843.9574,46258.6118,70878
"3",10003,89998.5339,139330.9968,53609
"4",10004,110183.6857,156682.7615,1271
"5",10005,115133.2855,163762.6601,1517
"6",10006,111220,156776,972
"7",10007,145458.7823,256235.5719,3520
"8",10009,56615.2777,78138.2679,56975
"9",10010,93702.0061,137105.706,27322
"10",10011,92359.4888,160936.5432,45899
"11",10012,81316.7066,135998.6472,26464
"12",10013,69836.0955,137738.4104,24723
"13",10014,98449.9155,162205.491,32867
"14",10016,96760.4462,144872.3901,49904
"15",10017,102523.5025,149723.7834,16231
"16",10018,84799.0772,112292.3727,4255
"17",10019,84786.4665,133175.3716,39048
"18",10021,113800.3846,198530.1081,44173
"19",10022,93106.6559,158965.178,26460
"20",10023,108285.5918,194365.9259,59002
"21",10024,110998.9883,191408.2026,61485
"22",10025,65001.2415,112009.46,96117
"23",10026,31541.8106,50331.7923,25925
"24",10027,38550.3989,57766.9366,57049
"25",10028,105456.4514,192257.802,40914
"26",10029,32876.522,56937.3035,76271
"27",10030,28525.1218,51240.6723,26058
"28",10031,31526.0287,51413.2034,59450
"29",10032,29535.9721,40902.4289,54744
"30",10033,36462.7783,53967.0876,59049
"31",10034,37865.7046,46838.4098,37785
"32",10035,23301.5744,37221.7427,31078
"33",10036,62393.3306,89879.286,18660
"34",10037,40079.7036,52944.5133,16994
"35",10038,55937.3774,89760.0452,15435
"36",10039,28691.9104,37075.3337,21738
"37",10040,37107.0105,48179.6812,46585
"38",10044,102485.7479,117866.0277,9519
"39",10065,108154.9505,191673.5228,31500
"40",10069,54236.0986,108783.6728,1843
"41",10075,112267.5519,188422.4971,25187
"42",10128,105186.9788,180473.0702,59434
"43",10280,98937.8355,138990.0141,4298
"44",10282,NA,NA,NA
"45",10301,56776.4674,75009.8666,38618
"46",10302,59919.3561,70774.0271,16580
"47",10303,54757.9811,66352.86,22842
"48",10304,46260.4767,65695.4113,36662
"49",10305,58937.658,75468.7376,37014
"50",10306,75212.0632,91445.7035,54812
"51",10307,92780.8404,110791.465,11662
"52",10308,75667.7216,85725.9159,23972
"53",10309,84917.1256,98955.8089,27255
"54",10310,65263.1506,77595.8957,22793
"55",10312,84524.3656,99002.3527,55963
"56",10314,78413.7436,90427.5476,85260
"57",10451,22970.4247,30636.7225,37570
"58",10452,27673.4674,35200.996,71254
"59",10453,26324.188,35179.332,77913
"60",10454,18024.1362,28294.0413,30078
"61",10455,22828.7877,33950.7416,37013
"62",10456,21955.2481,30836.9021,75975
"63",10457,25474.4498,34687.9858,68492
"64",10458,25642.1721,34873.0857,77840
"65",10459,22843.1774,33743.8935,38847
"66",10460,23644.951,33567.5699,53752
"67",10461,47715.8304,58036.9104,48081
"68",10462,46085.2485,51310.3756,71130
"69",10463,52301.5618,65039.2853,62456
"70",10464,1520.168,1673.4115,109
"71",10465,61446.3421,73646.2435,41282
"72",10466,48469.7389,57368.0989,68662
"73",10467,35375.4334,45203.2333,94492
"74",10468,28765.1143,38638.4808,76073
"75",10469,57183.0515,66926.4874,63256
"76",10470,53207.5286,65711.6553,15778
"77",10471,56909.8136,79166.6142,18127
"78",10472,32631.8405,42815.4756,64864
"79",10473,36132.1114,49073.3332,52624
"80",10474,24244.2862,31476.2226,11365
"81",10475,47895.0222,57491.3976,38149
"82",11004,75303.738,84521.7605,13390
"83",11101,39955.099,51519.3212,22556
"84",11102,48399.4866,61244.8968,35943
"85",11103,52494.8702,66421.0536,44730
"86",11104,50944.0617,61197.7955,29376
"87",11105,54570.0826,68394.8123,42375
"88",11106,44030.5142,56437.4173,40963
"89",11109,117750,151032,843
"90",11201,92174.8101,140857.9804,48101
"91",11203,47788.2901,60025.2785,78886
"92",11204,42763.549,58961.3319,74185
"93",11205,42903.7942,57436.724,35648
"94",11206,26439.5376,38579.5696,69454
"95",11207,34729.0604,44634.0699,87324
"96",11208,33875.818,44514.588,84692
"97",11209,56906.5301,78504.7606,69646
"98",11210,55000.8962,69161.936,67349
"99",11211,37632.4577,52060.9141,84434
"100",11212,27911.2921,37845.6579,85400
"101",11213,35084.8797,46614.3775,65932
"102",11214,35963.5161,48902.3504,78896
"103",11215,81331.0535,109383.9243,59307
"104",11216,37290.3205,52038.2363,55021
"105",11217,72610.5963,102949.5131,35641
"106",11218,48010.6089,61311.5804,75418
"107",11219,34969.9857,50736.5471,85825
"108",11220,37030.1129,50270.5076,92398
"109",11221,34005.1582,46669.9113,75020
"110",11222,54366.9033,69808.6353,40003
"111",11223,39420.9802,53995.6663,74659
"112",11224,34958.4279,45362.8356,49491
"113",11225,39782.409,52484.8359,61858
"114",11226,38763.3706,49672.5306,106461
"115",11228,55200.2725,73658.3837,40169
"116",11229,49910.6032,63752.1411,80407
"117",11230,47496.1618,64348.0001,88449
"118",11231,73074.9877,95031.0349,33174
"119",11232,34807.855,45833.5755,22177
"120",11233,35422.5954,45326.9526,63541
"121",11234,67952.9473,77076.9976,81033
"122",11235,44729.671,60543.4611,79197
"123",11236,59567.5509,69801.3086,94098
"124",11237,35354.7791,43843.8726,48837
"125",11238,61468.5107,79249.3305,49085
"126",11239,24882.1176,33974.7284,14621
"127",11354,50019.4132,63008.7787,54286
"128",11355,38623.9557,50392.9258,74434
"129",11356,67807.8323,80098.4197,20443
"130",11357,74096.6311,89656.8591,39650
"131",11358,66312.1712,80188.7795,37044
"132",11360,72853.7515,92444.6694,18363
"133",11361,70983.2093,84895.5484,28648
"134",11362,74826.6041,89962.6059,17509
"135",11363,92955.3212,118589.1132,6849
"136",11364,65776.5025,77366.7885,32272
"137",11365,61097.32,73176.9635,37503
"138",11366,76377.4039,93826.2191,13795
"139",11367,53564.6755,67846.4708,39791
"140",11368,43962.6552,54259.4037,95662
"141",11369,54732.4966,65142.6645,37429
"142",11370,37573.9334,49034.4878,28920
"143",11372,48149.0729,58610.2188,70946
"144",11373,44301.174,56732.7671,99884
"145",11374,49707.9331,65129.5937,39224
"146",11375,69446.0737,89704.2477,70142
"147",11377,49978.8076,60262.6681,87015
"148",11378,59362.7033,68915.0458,33487
"149",11379,61824.3232,76167.0077,33886
"150",11385,47469.8714,57794.7135,95262
"151",11411,69131.5808,79342.336,17909
"152",11412,67395.5987,77263.7438,36433
"153",11413,77058.1467,84085.1138,39571
"154",11414,70964.8067,84305.5087,28120
"155",11415,55983.3512,70069.1331,19423
"156",11416,46712.5556,58913.822,21053
"157",11417,56102.9338,66183.1157,28748
"158",11418,57063.3834,66711.6469,36587
"159",11419,49705.3095,59641.8032,44065
"160",11420,55055.5659,66550.7443,41750
"161",11421,55093.7928,66525.3233,37664
"162",11422,68822.9027,76688.5883,26308
"163",11423,64756.1233,79561.114,31575
"164",11426,74452.1944,87041.2389,17445
"165",11427,57224.3848,67493.9428,21275
"166",11428,71126.5564,85683.6821,20923
"167",11429,72714.1372,82272.7741,27816
"168",11432,50291.2065,64694.3772,54915
"169",11433,41780.0631,54771.0096,28391
"170",11434,51640.5104,59039.1065,52603
"171",11435,44721.7965,52869.8387,47317
"172",11436,62297.1561,69595.4619,18291
"173",11691,35645.3949,51204.389,54005
"174",11692,42385.4913,53663.5965,15850
"175",11693,54873.713,65333.225,11120
"176",11694,75157.2154,89574.9242,19299
"177",11697,82290.534,101499.855,4206
